from,to,value
Adlercreutzia,Valeric_acid,0.36341988073103787
unclassified Erysipelotrichaceae,Valine,0.3659159631211943
Collinsella,Uracil,0.3680400209727827
Mitsuokella,Uracil,0.3736016387795385
Coprobacillus,Isoleucine,0.37508789799534203
Mitsuokella,Valeric_acid,0.37662716135505664
Oscillibacter,Valeric_acid,0.3771809655459484
unclassified Christensenellaceae,Leucine,0.3796985729995773
Faecalitalea,Uracil,0.38428981512451293
Turicibacter,Valeric_acid,0.3854894730087663
Alistipes,Uracil,0.3855579329606635
Prevotella,Valeric_acid,0.3890640151527362
unclassified,Leucine,0.4031992174532704
Allisonella,Propionic_acid,0.41126747685973214
Blautia,Isoleucine,0.4135347412727789
Massiliomicrobiota,Fumaric_acid,0.4267966313754859
Methanobrevibacter,Phenylacetic_acid,0.42943305707935536
Prevotella,Uracil,0.4372198622016978
Ruthenibacterium,Isoleucine,0.4375907781180698
Eubacterium,Formic_acid,0.5113459111753405
