index,Timepoint,Type,FMT105,FMT109,FMT113,FMT117,FMT121,FMT125,FMT128,FMT132,FMT136,FMT144,FMT148,FMT152,FMT156,FMT164,FMT168,FMT172,FMT180
FMT102,7.0,PLACEBO,0.7758885156150679,0.917766650825018,0.8406516417369732,0.6573239447498863,0.7519034950286226,0.9724823714970989,0.9437211146079204,0.7564443759228091,0.7662573937524594,0.987832761504708,0.9265782411922626,0.8796941008568399,0.8846613275135792,0.7436766562795519,0.8586209151248696,0.8216347649931383,0.8957462551314179
FMT103,30.0,PLACEBO,0.7871527773330549,0.9293133978086845,0.7836539102684585,0.7049804079063937,0.683575402910246,0.9721113555670717,0.9424103188165446,0.7062468572357864,0.7338589885088813,0.9920101668005437,0.9717167007414862,0.8633482555828208,0.9437887453185418,0.713765461830863,0.829255281330316,0.8205069906237844,0.9236555234681539
FMT104,90.0,PLACEBO,0.7690024896765071,0.968560406802,0.8219651475671326,0.7765662029109545,0.66805419701618,0.9778708781160926,0.9769407285527805,0.7741759741685778,0.7734423140627554,0.992516454224981,0.9827659521320419,0.8836045874376809,0.9487195384281931,0.6708415287154861,0.8611595695221034,0.8239827614761867,0.9538952583702185
FMT105,0.0,FMT,0.0,0.8723444369737132,0.82023594321735,0.7104352166564833,0.9365741616116838,0.9588506579076708,0.9473690665426162,0.7399979964969786,0.741922583475546,0.9085528085158397,0.8323946256034471,0.8178541976825593,0.8848325896760925,0.8367478783163039,0.7858737211031919,0.7850832981070475,0.8812454929414479
FMT106,7.0,FMT,0.8519864261280511,0.5276177085727174,0.9174229227344107,0.8562901601125387,0.9155369254073191,0.7974434042964496,0.6648840554023829,0.7798974586087531,0.8761381109188023,0.9410764339998963,0.911850593068662,0.874324732799272,0.6721937911272018,0.9183006706027885,0.8021403757817369,0.7552793143546624,0.7477198144136509
FMT107,30.0,FMT,0.933860745148349,0.9885171843196874,0.9905901220506251,0.9846438116559215,0.9974836096709125,0.9976916717021455,0.9762715188962575,0.9925626009001184,0.982252572541383,0.9850902949747853,0.97770903273183,0.9870913965254053,0.9936499963837228,0.8519748938412626,0.9854686200264143,0.8974925184576367,0.9775978145186145
FMT108,90.0,FMT,0.6837022490722673,0.7187461722411985,0.8529689775692444,0.7610399614072536,0.937738705033258,0.9080574539661492,0.9221293019657874,0.845990076933191,0.8515548312051668,0.8586566839094489,0.8823681918640427,0.7908606694571002,0.8774526504092751,0.8751491556912872,0.7430009092799701,0.7524589683443424,0.8083797697716391
FMT109,0.0,FMT,0.8723444369737132,0.0,0.8965204554293598,0.8706973419325775,0.9351447927438702,0.7847372588881957,0.661093608330466,0.8092421086806397,0.9105211454861829,0.9137130506733548,0.8872297939523428,0.8521112017852651,0.7363532479343221,0.9180422044132595,0.7834514425014388,0.7568180048396892,0.7405274236097178
FMT110,7.0,FMT,0.8012994174527265,0.5507378483982027,0.8447205800622751,0.7634873528301709,0.9307874019324509,0.7889647707037044,0.763982620208274,0.7523107791013546,0.8184567496340397,0.9058556194568652,0.869077420975117,0.74100535172647,0.7769230274179469,0.908849929080556,0.7114048837698133,0.7099483088917194,0.7104536399125523
FMT111,30.0,FMT,0.8869243586061285,0.397321423765182,0.8950487885663674,0.8602748281584239,0.9316465155851126,0.7520227795626145,0.631803168387745,0.8315476409795055,0.9197167948666821,0.906913652867247,0.8566242049348597,0.831269805649034,0.7418348620468214,0.9225172710996504,0.7684683159168838,0.7823809524440554,0.6373536693304955
